"","ACTIVITY_TREATMENT_UNIT_ID","OPENING_ID","AREA","SPECIES","NUMBER_PLANTED","SEEDLOT_NUMBER","PLANTING_DATE","REGION","DISTRICT","YEAR","BGC","Zone","Subzone"
"3683",2287367,1081988,35.1,"BL",2980,47450,2007-06-19,"RSK","DND",2007,"SBSmc","SBS","mc"
"3684",2348729,1224470,15.9,"BL",8980,43003,2009-09-07,"RSK","DKM",2009,"ICHvc","ICH","vc"
"3685",3099959,1530250,8.3,"BL",5000,39590,2013-06-30,"RSK","DSS",2013,"ICHwc","ICH","wc"
"3686",3099960,1530250,1.7,"BL",1300,39590,2013-06-30,"RSK","DSS",2013,"ICHwc","ICH","wc"
"3687",841755,90196,32.4,"BA",3320,40450,2001-05-01,"RSK","DKM",2001,"CWHvh","CWH","vh"
"3688",2280789,-47320000,10.7,"BL",2100,39590,2011-06-21,"RSK","DSS",2011,"ICHmc","ICH","mc"
"3689",252219,50554,18.9,"BA",7006,35026,2002-05-29,"RSK","DKM",2002,"CWHvm","CWH","vm"
"3690",374164,84435,10.5,"BA",630,40449,2001-05-30,"RSK","DKM",2001,"CWHvh","CWH","vh"
"3691",374164,84435,10.5,"BA",3645,40450,2001-05-30,"RSK","DKM",2001,"CWHvh","CWH","vh"
"3692",-240240011,-240240000,5,"BA",0,NA,1988-04-01,"RSK","DKM",1988,"CWHws","CWH","ws"
"3693",748359,58829,22.9,"BL",2540,43010,1999-06-01,"RSK","DND",1999,"SBSmc","SBS","mc"
"3694",1807754,1064562,45.7,"BL",7980,43678,2005-07-12,"RSK","DSS",2005,"ESSFmc","ESSF","mc"
"3695",1807149,1064562,100.3,"BL",1820,32366,2006-06-04,"RSK","DSS",2006,"ESSFmc","ESSF","mc"
